9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Ekaterina RUBLEVA / Ivan SHEFER,RUS,4,81.3,44.2,37.1,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw4,,5.5,False,0.8,2,0,2,1,2,2,1,1,2,,6.3
2,CiSt3,,7.2,False,1.0,1,1,1,1,0,1,0,1,1,,8.2
3,CuLi4,,5.0,False,0.5,1,1,2,1,1,2,0,1,0,,5.5
4,CoSp4,,4.7,False,0.3,1,0,1,1,2,1,1,0,0,,5.0
5,RoLi4,,5.0,False,0.7,1,2,2,1,0,2,0,1,1,,5.7
6,SlLi4+RoLi4,,8.0,False,0.1,0,0,1,0,0,2,-1,0,0,,8.1
7,DiSt2,,5.4,False,0.0,0,0,0,0,0,1,0,0,0,,5.4
8,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,40.8,,,,,,,,,,,,,44.2
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,6.0,6.25,6.0,5.75,5.75,6.75,6.0,6.5,6.0,,6.15
,Linking Footwork / Movement  ,,,,1.75,5.75,6.0,5.5,5.75,5.5,6.5,6.0,6.25,5.75,,5.95
,Performance  ,,,,1.0,6.0,6.25,6.0,6.25,6.0,7.0,6.25,6.5,6.5,,6.3
,Choreography  ,,,,1.0,6.5,6.5,6.0,6.25,5.75,7.0,5.75,6.25,6.25,,6.3
,Interpretation / Timing  ,,,,1.0,6.5,6.75,6.0,6.5,6.0,7.25,5.75,6.5,6.25,,6.4
,,,,,,,,,,,,,,,,37.1
