9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Anna CAPPELLINI / Luca LANOTTE,ITA,7,32.04,15.9,16.14,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1S1,,1.7,False,0.3,1,0,1,0,0,1,1,0,1,,2.0
2,1S2,,2.8,False,0.14,0,0,0,0,0,1,1,0,0,,2.94
3,1S3,,2.3,False,0.0,0,1,0,0,0,0,0,0,0,,2.3
4,2S1,,2.3,False,0.1,0,0,0,0,1,0,1,1,0,,2.4
5,2S2,,3.4,False,-0.14,0,0,0,0,0,0,-1,0,-1,,3.26
6,2S3,,3.0,False,0.0,0,1,0,0,0,0,0,0,0,,3.0
,,,15.5,,,,,,,,,,,,,15.9
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,6.5,6.5,6.25,6.5,6.25,6.75,6.75,6.25,6.0,,6.5
,Timing  ,,,,0.75,6.25,6.25,5.25,6.25,6.0,6.5,7.0,6.25,5.75,,6.3
,Performance / Execution  ,,,,0.5,6.5,6.5,6.5,6.75,6.5,6.5,6.75,6.5,6.25,,6.55
,Interpretation  ,,,,0.5,6.5,6.25,6.25,6.5,6.25,6.75,7.25,6.5,6.0,,6.5
,,,,,,,,,,,,,,,,16.14
